FILE                                           	SEEING	
ATLAS_16p6_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.69  	
ATLAS_17p0_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_17p0_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_17p0_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_17p1_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.43  	
ATLAS_17p2_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_17p6_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.70  	
ATLAS_17p6_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.00  	
ATLAS_17p7_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.66  	
ATLAS_17p7_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.78  	
ATLAS_18p1_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.84  	
ATLAS_18p1_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.71  	
ATLAS_18p2_m27p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.21  	
ATLAS_18p2_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_18p3_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_18p7_m28p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.67  	
ATLAS_18p7_m32p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_18p8_m26p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_18p9_m34p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_19p3_m29p6_r_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_19p3_m31p5_r_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_19p4_m25p6_r_SDSS.V0.5.6A.swarp.cut.fits 	1.13  	
ATLAS_19p4_m33p5_r_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
