FILE                                           	SEEING	
ATLAS_12p9_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.15  	
ATLAS_12p9_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.33  	
ATLAS_12p9_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.25  	
ATLAS_13p0_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
ATLAS_13p1_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_13p3_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_13p5_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.61  	
ATLAS_13p5_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.23  	
ATLAS_13p6_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.68  	
ATLAS_14p0_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.12  	
ATLAS_14p1_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.81  	
ATLAS_14p1_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.33  	
ATLAS_14p1_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.29  	
ATLAS_14p3_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_14p4_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_14p7_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.62  	
ATLAS_14p7_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.55  	
ATLAS_14p8_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.70  	
ATLAS_14p9_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.10  	
ATLAS_15p1_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.13  	
ATLAS_15p3_m30p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.85  	
ATLAS_15p3_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.37  	
ATLAS_15p3_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_15p4_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.88  	
ATLAS_15p5_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_15p8_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.65  	
ATLAS_15p9_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.74  	
ATLAS_15p9_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.32  	
ATLAS_16p0_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_16p2_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.11  	
ATLAS_16p4_m32p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.30  	
ATLAS_16p5_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.79  	
ATLAS_16p5_m34p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.23  	
ATLAS_16p6_m26p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_17p0_m29p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.69  	
ATLAS_17p0_m31p5_g_SDSS.V0.5.6A.swarp.cut.fits 	0.65  	
ATLAS_17p0_m33p5_g_SDSS.V0.5.6A.swarp.cut.fits 	1.20  	
ATLAS_17p1_m27p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_17p2_m25p6_g_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_17p6_m28p6_g_SDSS.V0.5.6A.swarp.cut.fits 	0.83  	
