FILE                                           	SEEING	
ATLAS_14p7_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_14p8_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_14p9_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.30  	
ATLAS_15p1_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_15p3_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.02  	
ATLAS_15p3_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_15p3_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_15p4_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.93  	
ATLAS_15p5_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.17  	
ATLAS_15p8_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_15p9_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.19  	
ATLAS_15p9_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.88  	
ATLAS_16p0_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.24  	
ATLAS_16p2_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_16p4_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.12  	
ATLAS_16p5_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_16p5_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_16p6_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_17p0_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.14  	
ATLAS_17p0_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_17p0_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_17p1_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.50  	
ATLAS_17p2_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_17p6_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.74  	
ATLAS_17p6_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_17p7_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.39  	
ATLAS_17p7_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_18p1_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.11  	
ATLAS_18p1_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.26  	
ATLAS_18p2_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.34  	
ATLAS_18p2_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_18p3_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_18p7_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.80  	
ATLAS_18p7_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.96  	
ATLAS_18p8_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.98  	
ATLAS_18p9_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.06  	
ATLAS_19p3_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.37  	
ATLAS_19p3_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.22  	
ATLAS_19p4_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.94  	
ATLAS_19p4_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.77  	
ATLAS_19p9_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_19p9_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.97  	
ATLAS_1p2_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits  	1.17  	
ATLAS_1p3_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits  	0.85  	
ATLAS_1p3_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits  	1.21  	
ATLAS_1p5_m35p5_u_SDSS.V0.5.6A.swarp.cut.fits  	1.20  	
ATLAS_1p6_m27p6_u_SDSS.V0.5.6A.swarp.cut.fits  	1.04  	
ATLAS_1p6_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits  	0.97  	
ATLAS_1p8_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits  	1.21  	
ATLAS_20p1_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.08  	
ATLAS_20p4_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_20p5_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_20p6_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.84  	
ATLAS_21p0_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.98  	
ATLAS_21p0_m30p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_21p1_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_21p2_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_21p6_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_21p6_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.02  	
ATLAS_21p7_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_22p1_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.03  	
ATLAS_22p1_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_22p2_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_22p4_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_22p7_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.86  	
ATLAS_22p7_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.03  	
ATLAS_22p9_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.26  	
ATLAS_23p2_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.16  	
ATLAS_23p2_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_23p4_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_23p6_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.19  	
ATLAS_23p8_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.09  	
ATLAS_23p8_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.89  	
ATLAS_23p9_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.16  	
ATLAS_24p1_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.34  	
ATLAS_24p3_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.05  	
ATLAS_24p4_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_24p6_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_24p8_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.15  	
ATLAS_24p9_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.95  	
ATLAS_24p9_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.90  	
ATLAS_25p0_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.18  	
ATLAS_25p3_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.28  	
ATLAS_25p4_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.04  	
ATLAS_25p5_m30p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.92  	
ATLAS_25p7_m32p5_u_SDSS.V0.5.6A.swarp.cut.fits 	0.93  	
ATLAS_25p9_m25p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.99  	
ATLAS_26p0_m29p6_u_SDSS.V0.5.6A.swarp.cut.fits 	0.91  	
ATLAS_26p0_m34p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.07  	
ATLAS_26p2_m31p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.16  	
ATLAS_26p4_m33p5_u_SDSS.V0.5.6A.swarp.cut.fits 	1.27  	
ATLAS_26p5_m26p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.01  	
ATLAS_26p5_m28p6_u_SDSS.V0.5.6A.swarp.cut.fits 	1.19  	
