FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_338p9_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.66 0.01 2 0.00 0.04 0.07 -313.92 2245.14
ATLAS_338p9_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.99 0.02 2 0.00 0.07 0.09 -329.75 2380.68
ATLAS_339p1_m31p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.06 0.10 0.89 0.02 4 0.00 0.00 0.02 -227.16 1459.70
ATLAS_339p1_m31p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 0.71 0.01 2 0.00 0.09 0.04 -331.74 2088.08
ATLAS_339p1_m31p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 0.77 0.01 2 0.00 0.17 0.07 -363.75 2256.39
ATLAS_339p1_m31p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.31 0.10 0.90 0.01 2 0.00 0.15 0.11 -376.91 2455.00
ATLAS_339p1_m31p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.91 0.01 2 0.00 0.06 0.07 -349.81 2625.62
ATLAS_339p3_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.06 0.10 1.26 0.02 4 0.00 0.00 0.02 -29.73 1701.47
ATLAS_339p3_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 0.90 0.01 2 0.00 0.06 0.15 -393.41 2332.15
ATLAS_339p3_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.99 0.10 0.72 0.01 2 0.00 0.03 0.08 -286.48 2452.90
ATLAS_33p1_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.00 0.10 1.30 0.02 4 0.00 0.00 0.02 -19.45 1604.63
ATLAS_33p1_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.85 0.01 2 0.00 0.04 0.05 -316.35 2058.61
ATLAS_33p1_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.73 0.01 2 0.00 0.07 0.07 -334.64 2188.14
ATLAS_33p1_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 0.63 0.01 2 0.00 0.06 0.09 -351.40 2271.87
ATLAS_33p1_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 22.77 0.10 0.87 0.01 4 0.00 0.03 0.06 -308.21 2185.67
ATLAS_33p5_m30p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.11 0.10 1.11 0.01 2 0.00 0.01 0.03 -282.71 2720.44
ATLAS_33p5_m30p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 2.02 0.33 2 0.00 0.14 0.05 -427.28 2135.77
ATLAS_33p5_m30p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 0.85 0.01 2 0.00 0.08 0.06 -316.07 2480.19
ATLAS_33p5_m30p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.06 0.10 1.04 0.02 4 0.00 0.03 0.09 -371.04 2557.83
ATLAS_33p5_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 22.98 0.10 1.31 0.01 2 0.00 0.00 0.04 -98.38 1487.13
ATLAS_33p5_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 0.86 0.01 2 0.00 0.05 0.06 -310.65 2453.70
ATLAS_33p5_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.66 0.10 1.08 0.02 2 0.00 0.09 0.09 -411.67 2172.99
ATLAS_33p5_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 0.81 0.01 2 0.00 0.08 0.11 -353.81 2420.42
ATLAS_33p5_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.96 0.10 0.95 0.01 2 0.00 0.03 0.07 -358.85 2388.18
ATLAS_33p8_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 22.98 0.10 0.91 0.02 4 0.00 0.00 0.02 -15.13 1855.96
ATLAS_33p8_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 1.51 0.03 2 0.00 0.05 0.04 -429.15 2048.32
ATLAS_33p8_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.80 0.01 2 0.00 0.06 0.07 -413.59 2487.59
ATLAS_33p8_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.25 0.10 0.63 0.01 2 0.00 0.05 0.11 -410.21 2499.45
ATLAS_33p8_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 22.97 0.10 0.60 0.01 2 0.00 0.02 0.08 -433.98 2358.39
ATLAS_33p9_m29p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.09 0.10 1.16 0.01 2 0.00 0.00 0.02 -40.97 1486.59
ATLAS_33p9_m29p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 1.13 0.02 2 0.00 0.04 0.05 -195.95 1855.47
ATLAS_33p9_m29p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 1.03 0.04 2 0.00 0.05 0.06 -355.83 2387.26
ATLAS_33p9_m29p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.02 0.04 2 0.00 0.02 0.07 -196.57 2192.73
ATLAS_340p0_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.29 0.01 4 0.00 0.00 0.02 -29.35 1427.19
ATLAS_340p0_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.74 0.02 2 0.00 0.09 0.05 -342.59 2166.45
ATLAS_340p0_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.98 0.02 2 0.00 0.17 0.11 -352.14 2254.13
ATLAS_340p2_m31p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.06 0.10 1.00 0.02 4 0.00 0.00 0.02 -186.28 1985.92
ATLAS_340p2_m31p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 0.74 0.02 2 0.00 0.06 0.05 -323.73 1967.01
ATLAS_340p2_m31p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 0.80 0.01 2 0.00 0.09 0.09 -352.99 2239.34
ATLAS_340p2_m31p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.31 0.10 0.94 0.01 2 0.00 0.07 0.11 -414.95 2249.13
ATLAS_340p2_m31p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.83 0.01 2 0.00 0.03 0.07 -417.50 2541.88
ATLAS_340p4_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.06 0.10 1.29 0.02 4 0.00 0.00 0.02 -62.07 1479.63
ATLAS_340p4_m32p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 1.12 0.02 2 0.00 0.06 0.15 -304.75 2384.08
