FILE TEXPTIME ASTRERR MAGZP MAGZPERR SEEING SEEINERR NCOMBINE MEDIAN MEAN SIGMA MIN MAX
ATLAS_346p5_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 270.00 0.30 23.04 0.10 0.59 0.01 6 0.00 0.02 0.05 -356.46 2521.77
ATLAS_346p9_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.92 0.02 4 0.00 0.01 0.02 -214.39 1674.66
ATLAS_346p9_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.64 0.02 2 0.00 0.10 0.06 -325.21 1996.86
ATLAS_346p9_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.62 0.01 2 0.00 0.15 0.10 -406.04 2431.14
ATLAS_346p9_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.34 0.10 1.22 0.01 4 0.00 0.22 0.08 -379.14 2345.10
ATLAS_346p9_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.80 0.01 2 0.00 0.16 0.11 -391.62 2675.30
ATLAS_349p1_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.34 0.01 2 0.00 0.03 0.06 -213.60 1873.49
ATLAS_349p1_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.78 0.01 2 0.00 0.04 0.13 -267.97 2314.36
ATLAS_349p1_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.34 0.10 1.28 0.01 4 0.00 0.04 0.07 -377.08 2227.55
ATLAS_349p1_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.76 0.01 2 0.00 0.01 0.12 -161.65 2136.46
ATLAS_349p4_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.04 0.02 4 0.00 0.00 0.02 -9.56 1411.17
ATLAS_349p4_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.84 0.01 2 0.00 0.03 0.04 -266.97 1980.27
ATLAS_349p4_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.70 0.01 2 0.00 0.05 0.08 -372.24 2250.67
ATLAS_349p4_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 0.91 0.02 2 0.00 0.03 0.16 -331.80 2217.32
ATLAS_349p4_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.07 0.10 0.75 0.02 2 0.00 0.02 0.12 -355.36 2293.03
ATLAS_349p7_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.12 0.01 4 0.00 0.01 0.03 -132.54 1644.40
ATLAS_349p7_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.65 0.01 2 0.00 0.10 0.05 -352.35 2054.87
ATLAS_349p7_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 24.69 0.10 1.24 0.02 4 0.00 0.17 0.07 -336.62 2254.61
ATLAS_349p7_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.73 0.01 2 0.00 0.08 0.12 -316.55 2493.83
ATLAS_34p2_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.04 0.10 1.07 0.01 2 0.00 0.00 0.04 -80.48 1324.44
ATLAS_34p2_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.79 0.10 1.06 0.02 2 0.00 0.03 0.04 -252.03 2115.81
ATLAS_34p2_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.64 0.10 1.11 0.02 2 0.00 0.05 0.10 -318.26 2289.01
ATLAS_34p2_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 1.09 0.02 2 0.00 0.04 0.10 -374.49 2265.76
ATLAS_34p2_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.00 0.10 0.62 0.01 2 0.00 0.02 0.13 -270.69 2349.55
ATLAS_34p3_m34p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.00 0.10 1.28 0.01 4 0.00 0.00 0.02 -23.29 1935.09
ATLAS_34p3_m34p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.74 0.01 2 0.00 0.03 0.04 -298.15 1910.38
ATLAS_34p3_m34p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.68 0.01 2 0.00 0.04 0.09 -333.30 2341.52
ATLAS_34p3_m34p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.27 0.10 0.69 0.01 2 0.00 0.03 0.09 -331.54 2263.42
ATLAS_34p3_m34p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 22.77 0.10 0.81 0.01 4 0.00 0.01 0.06 -336.08 2306.72
ATLAS_34p6_m30p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.11 0.10 1.06 0.01 2 0.00 0.00 0.03 -50.94 1612.89
ATLAS_34p6_m30p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.83 0.10 0.80 0.01 2 0.00 0.05 0.06 -388.54 2176.11
ATLAS_34p6_m30p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.71 0.10 0.78 0.01 2 0.00 0.07 0.07 -368.99 2342.42
ATLAS_34p6_m30p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.29 0.10 0.76 0.01 2 0.00 0.06 0.13 -430.55 2625.05
ATLAS_34p6_m30p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.04 0.10 1.24 0.02 2 0.00 0.03 0.08 -327.28 2438.07
ATLAS_350p0_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.92 0.01 4 0.00 0.00 0.02 -36.78 1848.99
ATLAS_350p0_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.83 0.01 2 0.00 0.07 0.04 -342.17 2295.03
ATLAS_350p0_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.78 0.02 2 0.00 0.14 0.07 -341.53 2371.93
ATLAS_350p0_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.06 0.01 2 0.00 0.13 0.10 -403.88 2275.04
ATLAS_350p0_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.03 0.10 0.75 0.01 4 0.00 0.05 0.09 -336.20 2380.10
ATLAS_350p3_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.89 0.02 4 0.00 0.00 0.02 -28.38 1524.76
ATLAS_350p3_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.29 0.01 2 0.00 0.07 0.05 -308.13 2138.18
ATLAS_350p3_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 0.74 0.01 2 0.00 0.11 0.09 -356.82 2806.86
ATLAS_350p3_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.34 0.10 1.18 0.02 3 0.00 0.10 0.08 -385.79 2577.18
ATLAS_350p3_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.63 0.01 2 0.00 0.04 0.07 -366.56 2393.92
ATLAS_350p6_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.06 0.01 4 0.00 0.00 0.02 -33.31 1514.51
ATLAS_350p6_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.81 0.01 2 0.00 0.05 0.04 -314.23 1992.03
ATLAS_350p6_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.79 0.01 2 0.00 0.09 0.10 -362.34 2334.68
ATLAS_350p6_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.00 0.02 2 0.00 0.06 0.13 -314.07 2174.95
ATLAS_350p6_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.07 0.10 0.77 0.03 2 0.00 0.05 0.09 -369.40 2450.30
ATLAS_350p9_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.01 0.01 4 0.00 0.00 0.02 -49.93 1681.26
ATLAS_350p9_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.70 0.01 2 0.00 0.04 0.06 -371.87 1911.38
ATLAS_350p9_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.69 0.10 1.16 0.02 3 0.00 0.06 0.05 -367.41 2264.34
ATLAS_350p9_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.74 0.02 2 0.00 0.02 0.11 -229.12 2500.73
ATLAS_351p2_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.92 0.01 4 0.00 0.00 0.02 -36.87 1646.71
ATLAS_351p2_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.78 0.01 2 0.00 0.04 0.07 -293.10 2089.18
ATLAS_351p2_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.76 0.01 2 0.00 0.06 0.08 -349.64 2427.28
ATLAS_351p2_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.29 0.01 2 0.00 0.06 0.10 -334.52 2253.02
ATLAS_351p2_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 23.03 0.10 0.70 0.01 3 0.00 0.02 0.07 -263.91 2335.56
ATLAS_351p4_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.89 0.01 4 0.00 0.00 0.02 -25.61 1009.18
ATLAS_351p4_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.25 0.01 2 0.00 0.03 0.04 -195.03 1913.03
ATLAS_351p4_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.70 0.01 2 0.00 0.05 0.10 -357.87 2374.95
ATLAS_351p4_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.43 0.03 2 0.00 0.05 0.06 -228.43 2435.21
ATLAS_351p4_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.64 0.00 2 0.00 0.02 0.07 -280.39 2508.28
ATLAS_351p7_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.06 0.01 4 0.00 0.00 0.02 -19.11 1565.09
ATLAS_351p7_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.79 0.01 2 0.00 0.05 0.07 -336.19 2063.82
ATLAS_351p7_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.67 0.01 2 0.00 0.08 0.07 -407.26 2311.89
ATLAS_351p7_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 0.91 0.02 2 0.00 0.05 0.11 -365.58 2521.28
ATLAS_351p7_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.07 0.10 0.67 0.01 2 0.00 0.03 0.12 -338.54 2444.11
ATLAS_352p0_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.11 0.01 4 0.00 0.00 0.02 -28.81 1466.35
ATLAS_352p0_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.69 0.01 2 0.00 0.03 0.04 -314.47 2077.78
ATLAS_352p0_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.69 0.10 1.04 0.01 3 0.00 0.05 0.05 -335.30 2163.84
ATLAS_352p0_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.70 0.02 2 0.00 0.02 0.08 -247.75 2284.85
ATLAS_352p4_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.91 0.02 4 0.00 0.00 0.02 -139.64 1645.90
ATLAS_352p4_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.76 0.01 2 0.00 0.04 0.05 -333.86 1942.46
ATLAS_352p4_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.75 0.01 2 0.00 0.06 0.06 -380.84 2395.07
ATLAS_352p4_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.29 0.02 2 0.00 0.05 0.08 -395.52 2300.55
ATLAS_352p4_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.03 0.10 0.72 0.01 4 0.00 0.02 0.06 -262.42 2297.76
ATLAS_352p5_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 180.00 0.30 23.05 0.10 0.87 0.02 3 0.00 0.00 0.03 -43.22 1512.42
ATLAS_352p5_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.26 0.02 2 0.00 0.03 0.06 -236.61 1908.81
ATLAS_352p5_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.73 0.01 2 0.00 0.05 0.17 -391.08 2355.58
ATLAS_352p5_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.48 0.03 2 0.00 0.05 0.10 -343.00 2263.01
ATLAS_352p5_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.16 0.05 2 0.00 0.02 0.07 -321.52 2289.49
ATLAS_352p9_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.13 0.02 4 0.00 0.00 0.02 -28.92 1650.73
ATLAS_352p9_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.77 0.01 2 0.00 0.05 0.04 -301.37 2083.80
ATLAS_352p9_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.73 0.01 2 0.00 0.08 0.07 -337.16 2135.80
ATLAS_352p9_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 0.87 0.02 2 0.00 0.05 0.10 -292.77 2022.41
ATLAS_352p9_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.69 0.01 2 0.00 0.03 0.13 -363.22 2410.35
ATLAS_353p2_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.03 0.01 4 0.00 0.00 0.02 -40.53 865.50
ATLAS_353p2_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.67 0.01 2 0.00 0.03 0.07 -328.74 2033.12
ATLAS_353p2_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.69 0.10 1.09 0.01 3 0.00 0.05 0.08 -267.95 2171.13
ATLAS_353p2_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.79 0.02 2 0.00 0.02 0.08 -256.73 2264.97
ATLAS_353p6_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.90 0.01 4 0.00 0.00 0.02 -64.36 1758.55
ATLAS_353p6_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.76 0.01 2 0.00 0.04 0.04 -277.26 1877.36
ATLAS_353p6_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.69 0.01 2 0.00 0.06 0.07 -326.70 2365.63
ATLAS_353p6_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.09 0.02 2 0.00 0.05 0.08 -395.44 2137.73
ATLAS_353p6_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 23.03 0.10 0.72 0.01 3 0.00 0.02 0.07 -289.71 2233.94
ATLAS_353p7_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.88 0.01 4 0.00 0.00 0.02 -130.81 1696.61
ATLAS_353p7_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.30 0.02 2 0.00 0.05 0.06 -265.96 1850.43
ATLAS_353p7_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 1.05 0.02 2 0.00 0.06 0.11 -293.60 2487.63
ATLAS_353p7_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.67 0.03 2 0.00 0.05 0.10 -329.01 2207.89
ATLAS_353p7_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.55 0.03 2 0.00 0.02 0.07 -221.37 2008.66
ATLAS_354p0_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.07 0.02 4 0.00 0.00 0.02 -36.83 1637.27
ATLAS_354p0_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.81 0.10 0.81 0.01 2 0.00 0.07 0.04 -323.20 1982.36
ATLAS_354p0_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.68 0.01 2 0.00 0.12 0.07 -411.46 2534.18
ATLAS_354p0_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.11 0.02 2 0.00 0.09 0.09 -286.37 2474.20
ATLAS_354p0_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.79 0.01 2 0.00 0.05 0.08 -304.70 2301.31
ATLAS_354p4_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 0.97 0.01 4 0.00 0.00 0.02 -30.91 1571.93
ATLAS_354p4_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.62 0.01 2 0.00 0.03 0.06 -374.45 2093.63
ATLAS_354p4_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.69 0.10 1.02 0.01 2 0.00 0.08 0.10 -337.96 2297.04
ATLAS_354p4_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.68 0.01 2 0.00 0.02 0.08 -190.34 2391.73
ATLAS_354p7_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.88 0.01 4 0.00 0.00 0.02 -14.85 1810.42
ATLAS_354p7_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.70 0.01 2 0.00 0.05 0.04 -306.35 2061.55
ATLAS_354p7_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.70 0.01 2 0.00 0.07 0.08 -417.74 2233.11
ATLAS_354p7_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.32 0.05 2 0.00 0.07 0.12 -401.21 2414.04
ATLAS_354p7_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.03 0.10 0.98 0.01 2 0.00 0.03 0.08 -314.40 2404.45
ATLAS_354p8_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.87 0.01 4 0.00 0.00 0.02 -21.60 1479.72
ATLAS_354p8_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.38 0.02 2 0.00 0.04 0.04 -198.49 1878.37
ATLAS_354p8_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.74 0.01 2 0.00 0.05 0.11 -353.21 2439.28
ATLAS_354p8_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.40 0.02 2 0.00 0.04 0.06 -246.84 2101.81
ATLAS_354p8_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.78 0.03 2 0.00 0.02 0.08 -56.42 1965.01
ATLAS_355p2_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.12 0.02 4 0.00 0.01 0.03 -290.15 1897.68
ATLAS_355p2_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.80 0.01 2 0.00 0.05 0.07 -301.87 2043.50
ATLAS_355p2_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.70 0.01 2 0.00 0.07 0.10 -387.99 2272.80
ATLAS_355p2_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.33 0.10 1.07 0.02 2 0.00 0.04 0.10 -338.39 2507.46
ATLAS_355p2_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.67 0.01 2 0.00 0.02 0.12 -320.85 2454.50
ATLAS_355p5_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 0.95 0.01 4 0.00 0.01 0.02 -222.87 1699.28
ATLAS_355p5_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.63 0.01 2 0.00 0.12 0.05 -334.88 2205.18
ATLAS_355p5_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.69 0.10 1.15 0.02 3 0.00 0.22 0.05 -434.32 2355.76
ATLAS_355p5_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.72 0.01 2 0.00 0.08 0.13 -408.85 2379.20
ATLAS_355p9_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 1.00 0.01 4 0.00 0.00 0.02 -259.45 1661.79
ATLAS_355p9_m33p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.68 0.01 2 0.00 0.06 0.04 -355.57 2711.05
ATLAS_355p9_m33p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.72 0.01 2 0.00 0.09 0.06 -326.93 2280.95
ATLAS_355p9_m33p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.30 0.10 1.20 0.02 2 0.00 0.07 0.12 -488.37 2177.20
ATLAS_355p9_m33p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.03 0.10 0.76 0.01 2 0.00 0.03 0.13 -321.22 2377.83
ATLAS_356p0_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.84 0.01 4 0.00 0.00 0.02 -32.71 1746.36
ATLAS_356p0_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.29 0.02 2 0.00 0.04 0.04 -261.06 1896.88
ATLAS_356p0_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.73 0.01 2 0.00 0.05 0.11 -347.33 2321.26
ATLAS_356p0_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.49 0.02 2 0.00 0.05 0.10 -303.04 2179.88
ATLAS_356p0_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 1.49 0.03 2 0.00 0.02 0.09 -65.05 1997.03
ATLAS_356p7_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.05 0.01 4 0.00 0.00 0.02 -37.46 1659.71
ATLAS_356p7_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.64 0.01 2 0.00 0.05 0.05 -331.33 2101.29
ATLAS_356p7_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.69 0.10 1.40 0.02 3 0.00 0.07 0.07 -305.45 2169.92
ATLAS_356p7_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.71 0.02 2 0.00 0.02 0.10 -376.71 2426.42
ATLAS_357p5_m31p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.08 0.10 1.05 0.02 4 0.00 0.00 0.02 -68.40 1765.58
ATLAS_357p5_m31p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.99 0.02 2 0.00 0.04 0.06 -313.55 1980.88
ATLAS_357p5_m31p5_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.67 0.01 2 0.00 0.06 0.07 -328.74 2222.57
ATLAS_357p5_m31p5_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.33 0.10 1.10 0.02 2 0.00 0.05 0.16 -375.56 2423.93
ATLAS_357p5_m31p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.76 0.01 2 0.00 0.03 0.07 -355.02 2640.34
ATLAS_357p8_m32p5_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.07 0.10 1.07 0.01 4 0.00 0.00 0.02 -124.74 1541.77
ATLAS_357p8_m32p5_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.82 0.10 0.66 0.01 2 0.00 0.04 0.04 -315.64 1920.68
ATLAS_357p8_m32p5_r_SDSS.V0.5.5A.swarp.cut.fits 135.00 0.30 24.69 0.10 1.25 0.02 3 0.00 0.06 0.07 -272.61 2163.49
ATLAS_357p8_m32p5_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.75 0.01 2 0.00 0.02 0.10 -238.79 2317.08
ATLAS_358p2_m30p6_u_SDSS.V0.5.5A.swarp.cut.fits 240.00 0.30 23.05 0.10 0.86 0.01 4 0.00 0.00 0.02 -110.45 1801.36
ATLAS_358p2_m30p6_g_SDSS.V0.5.5A.swarp.cut.fits 100.00 0.30 24.84 0.10 1.26 0.01 2 0.00 0.05 0.04 -277.32 1887.88
ATLAS_358p2_m30p6_r_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.68 0.10 0.66 0.01 2 0.00 0.07 0.15 -360.61 2345.61
ATLAS_358p2_m30p6_i_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 24.34 0.10 1.16 0.01 2 0.00 0.08 0.06 -385.74 2428.04
ATLAS_358p2_m30p6_z_SDSS.V0.5.5A.swarp.cut.fits 90.00 0.30 23.08 0.10 0.97 0.02 2 0.00 0.04 0.07 -352.48 2268.59
ATLAS_358p2_m33p5_u_SDSS.V0.5.5A.swarp.cut.fits 120.00 0.30 23.02 0.10 1.05 0.01 2 0.00 0.00 0.04 -91.93 1830.86
