ATLAS_161.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.7_-14.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.7_-14.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.7_-14.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.7_-14.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.7_-14.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.8_-14.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.4_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.4_-39.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.8_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
