ATLAS_159.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_159.8_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_159.8_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_15.3_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_15.3_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_15.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_15.6_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_15.7_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_160.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_160.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_160.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_160.8_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_160.8_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.6_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.8_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_161.9_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.8_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_162.9_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.8_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_163.9_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.9_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_164.9_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_165.9_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.0_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.6_-11.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.6_-12.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.7_-13.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_166.9_-16.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_167.0_-17.5 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.0_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.4_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.4_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_16.8_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_17.4_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_17.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_18.4_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_18.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_19.5_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_19.6_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.1_-22.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.4_-23.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.7_-24.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_1.9_-21.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_200.8_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_200.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_201.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_201.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_202.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_202.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_203.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_203.8_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_204.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_204.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_205.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_205.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_206.7_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_206.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_207.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_207.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_208.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_208.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_209.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_209.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_20.5_-17.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_20.7_-14.7 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_210.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_210.7_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_211.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_211.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_212.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_212.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_213.6_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_213.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_214.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_214.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_215.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_215.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_216.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_216.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_217.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_217.6_-3.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
ATLAS_218.5_-2.6 	 "g_SDSS r_SDSS i_SDSS z_SDSS"
