# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2012-09-30T07:30:57.810 0.560702 -0.0367585 0 0.0240150 2.10899
OMEGA.2011-08-26T08:56:20.846 0.168721 0.0127885 1 0.0291410 1.23656
OMEGA.2011-08-26T08:57:50.727 0.174800 9.94255e-05 1 0.0306850 1.35332
OMEGA.2011-08-26T08:59:21.059 0.154591 0.00419435 1 0.0300260 1.35449
OMEGA.2011-08-26T09:00:52.399 0.174008 -0.00160832 1 0.0322170 1.33744
OMEGA.2011-08-26T09:03:55.981 0.163218 -0.00873679 0 0.0324480 1.39296
OMEGA.2011-08-26T09:11:32.956 0.172821 -0.00551662 1 0.0307190 1.39366
OMEGA.2011-11-05T01:14:40.200 -0.163111 -0.0319508 1 0.000691000 0.810380
OMEGA.2013-03-24T02:24:23.069 -0.352439 -0.290794 0 0.0330530 0.608849
OMEGA.2011-11-05T01:26:01.966 -0.172732 -0.0525863 1 0.00118400 0.809510
OMEGA.2011-09-25T07:58:22.438 -0.158824 -0.0247203 1 0.000747000 0.672263
OMEGA.2013-03-26T04:39:07.334 -0.190310 -0.0601194 1 -0.0275670 0.873919
OMEGA.2011-09-25T07:59:48.268 -0.209466 -0.0125863 1 -0.000468000 0.843038
OMEGA.2011-09-25T08:01:13.579 -0.183016 -0.00225280 1 0.000468000 0.745987
OMEGA.2011-09-25T08:08:28.323 -0.190350 -0.0145604 1 0.00340200 0.673223
OMEGA.2011-09-25T08:15:46.818 -0.157442 -0.128752 1 -0.00111900 1.22671
OMEGA.2011-09-16T08:48:36.590 -0.173109 0.0429150 1 0.00759500 1.49153
OMEGA.2011-09-25T08:23:01.882 -0.155534 -0.0952443 1 0.00100500 0.906240
OMEGA.2011-09-25T08:24:26.793 -0.182357 -0.136424 1 -0.00100500 1.13859
OMEGA.2013-10-06T00:48:10.252 -0.264159 0.00483617 0 -0.348093 1.96354
OMEGA.2011-09-25T08:33:04.328 -0.166658 -0.100993 1 -0.000334000 0.950616
OMEGA.2012-09-13T02:38:41.915 -0.152310 -0.0850774 1 0.176663 1.56462
OMEGA.2011-09-24T07:01:52.236 -0.169812 -0.0339021 1 -0.000748000 1.97712
OMEGA.2012-12-16T04:18:24.206 -0.205299 -0.0286645 0 0.00188300 2.07862
OMEGA.2012-12-16T04:32:36.919 -0.265129 -0.171245 1 -0.0663980 1.35005
