# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2011-09-30T05:36:24.987 0.00300599 -0.00609024 1 0.0396700 0.749481
OMEGA.2011-09-30T05:38:09.208 0.00478062 -0.00546672 1 0.0383820 0.767918
OMEGA.2012-06-24T08:44:27.671 -0.00788081 -0.0172643 1 -0.0391730 0.715028
OMEGA.2012-06-24T08:46:08.062 -0.0108710 -0.0167055 1 -0.0388790 0.742218
OMEGA.2011-08-18T08:13:08.728 -0.0199224 0.0478204 1 0.000454000 0.886900
OMEGA.2011-08-18T08:14:37.029 -0.0398307 0.0396204 1 -0.000454000 0.848754
OMEGA.2011-09-30T06:35:14.142 0.0376728 0.0120070 1 0.00146300 0.653191
OMEGA.2011-09-30T06:36:48.353 0.0426438 0.00553587 1 -0.00146300 0.655670
OMEGA.2011-09-26T03:07:51.292 -0.0392502 0.0376300 1 0.000647000 1.12055
OMEGA.2011-09-26T03:09:16.843 -0.0282358 0.0268344 1 -0.000647000 1.22321
OMEGA.2011-11-18T03:25:56.456 0.0235977 0.00522085 1 -0.000652000 0.637739
OMEGA.2011-11-18T03:27:21.876 0.0325889 0.0188425 1 0.000652000 0.630255
OMEGA.2011-11-16T02:43:01.582 -0.0280543 -0.0200071 1 -0.00190700 0.830295
OMEGA.2011-11-16T02:44:45.123 -0.0204663 -0.00515463 1 0.00190700 0.958451
OMEGA.2011-11-17T03:22:53.330 -0.0309938 0.00345892 1 -0.00129100 0.825628
OMEGA.2011-11-17T03:24:17.990 -0.0224676 0.0176336 1 0.00129100 0.853146
OMEGA.2012-10-11T04:30:10.349 0.0210936 -0.0288441 1 0.00298600 0.887628
OMEGA.2012-10-11T04:31:41.169 0.0144080 0.0535873 1 -0.00298600 1.01299
OMEGA.2012-08-05T06:32:48.237 0.0151665 -0.00791228 1 0.0105620 1.08875
OMEGA.2012-08-05T06:34:13.158 -0.0208145 0.00532924 1 0.0102200 1.12223
OMEGA.2012-08-30T04:38:02.963 0.0679416 0.0166551 1 -0.0233700 1.02698
OMEGA.2012-08-30T04:39:29.054 0.0474025 0.0148666 1 -0.0194590 1.04863
OMEGA.2012-09-23T01:57:05.060 0.0490436 -0.0183010 1 0.0114570 0.747276
OMEGA.2012-09-23T01:58:30.271 0.0338450 0.0177079 1 0.0105900 0.719758
OMEGA.2012-11-13T01:39:50.032 -0.0153889 -0.00560189 1 0.000487000 0.868720
OMEGA.2012-11-13T01:41:14.971 -0.0282576 -0.00858224 1 -0.000487000 0.880275
OMEGA.2012-09-23T03:13:25.111 0.0426903 -0.0225443 1 -0.00149500 0.611921
OMEGA.2012-09-23T03:14:50.042 0.0346669 -0.0504303 1 0.00149500 0.654606
OMEGA.2011-11-28T02:35:29.220 0.00427096 0.00665457 1 -0.0121460 0.994399
OMEGA.2011-11-28T02:37:03.001 0.00896573 -0.00633474 1 -0.0119330 1.01175
OMEGA.2012-07-17T07:49:21.715 0.00436182 0.00944062 0 0.00907600 1.36431
OMEGA.2012-07-17T07:50:53.135 0.00357554 0.00511623 0 0.0126100 1.46000
OMEGA.2012-07-24T06:33:22.194 0.0331681 -0.0140641 1 0.000551000 0.918048
OMEGA.2012-07-24T06:34:52.164 0.0466387 0.00211317 1 0.00184200 0.986706
OMEGA.2011-12-27T01:30:25.336 0.00750332 -0.00464191 1 0.00228100 1.09298
OMEGA.2011-12-27T01:31:50.008 0.00934070 -0.0139753 1 -0.00235900 1.07483
OMEGA.2012-01-01T01:23:20.371 -0.00810136 0.0245511 1 0.000300000 0.701209
OMEGA.2012-01-01T01:24:45.952 -0.0560299 0.0241058 1 -0.000222000 0.815578
OMEGA.2012-09-10T07:39:03.498 0.0239770 0.00108945 1 0.00118200 0.957432
OMEGA.2012-09-10T07:40:35.768 0.0385125 0.0110703 1 -0.00118200 0.988341
OMEGA.2011-10-30T04:27:54.901 0.00589153 0.00721290 1 0.0207790 1.16116
OMEGA.2011-10-30T04:29:38.352 0.0150687 0.0116310 1 -0.0207790 1.13284
OMEGA.2011-12-02T03:11:09.213 -0.0114440 0.0253314 1 -0.0172690 1.04229
OMEGA.2011-12-02T03:12:38.144 0.00365811 0.0241463 1 -0.0150340 0.923182
OMEGA.2012-08-08T05:55:38.508 -0.00977278 -0.00384846 1 0.0141240 0.876833
OMEGA.2012-08-08T05:57:03.498 0.00986448 0.00863671 1 0.0181790 0.989409
OMEGA.2011-08-26T08:45:39.710 0.139824 0.00822636 1 0.0279540 1.22050
OMEGA.2011-08-26T08:47:11.571 0.138453 0.0252592 1 0.0259360 1.21367
OMEGA.2012-09-13T03:35:20.914 0.0159591 -0.0439549 1 -0.0271500 0.801227
OMEGA.2012-09-13T03:36:54.824 0.0129293 -0.0425444 1 -0.0267400 0.742639
OMEGA.2011-09-05T02:46:40.336 -0.0110726 -0.0480725 1 0.000456000 0.907147
OMEGA.2011-09-05T02:48:05.748 0.00544092 -0.0479449 1 0.00121100 0.939396
OMEGA.2011-09-05T03:16:43.234 0.0953716 0.0172101 1 -0.000344000 0.647071
OMEGA.2011-09-05T03:19:18.996 0.0754431 0.00797488 1 -0.00132300 0.622010
OMEGA.2011-09-27T05:00:02.221 -0.00360436 -0.00829152 1 0.0188830 1.03107
OMEGA.2011-09-27T05:01:28.503 -0.00261831 -0.000112546 1 0.0201500 1.02676
OMEGA.2011-09-27T06:58:01.641 -0.00754212 -0.00259476 1 -0.0187150 0.899007
OMEGA.2011-09-27T06:59:27.642 -0.00103357 -0.00280558 1 -0.0203180 0.868462
OMEGA.2011-08-26T07:33:29.978 0.0167833 -0.0186280 1 0.0617680 0.715476
OMEGA.2011-08-26T07:35:10.729 0.0115297 -0.0194602 1 0.0597380 0.698810
OMEGA.2012-11-13T02:50:57.133 0.00905754 -0.0158749 1 -0.0596540 1.19223
OMEGA.2012-11-13T02:52:38.143 -0.0120840 -0.0119912 0 -0.0618510 1.21167
OMEGA.2011-08-23T07:17:15.128 -0.00896007 0.0268819 1 0.00301000 0.910112
OMEGA.2011-08-23T07:18:40.948 -0.0251143 0.0234844 1 0.00621700 0.981003
OMEGA.2011-08-23T08:00:26.253 0.0147648 -0.00431598 1 -0.00477400 0.969913
OMEGA.2011-08-23T08:02:21.034 0.0132626 0.00781706 1 -0.00445200 0.889958
OMEGA.2011-09-25T07:00:45.893 0.00571805 0.00163670 1 -0.00102500 0.814597
OMEGA.2011-09-25T07:02:19.784 -0.0322819 0.0352177 1 0.00102500 0.900811
OMEGA.2011-08-20T04:41:22.476 -0.00312726 0.0279294 1 -0.00415500 1.07076
OMEGA.2011-08-20T04:42:47.146 0.00180939 0.0243031 0 -0.382092 1.00502
OMEGA.2011-09-20T06:57:37.376 0.0389346 0.0143973 1 0.192273 0.621124
OMEGA.2011-09-20T06:59:03.147 0.0413641 0.00568342 1 0.193975 0.668801
OMEGA.2011-11-19T03:42:25.370 0.0311542 0.00811788 1 -0.000814000 0.725169
OMEGA.2011-11-19T03:43:52.661 0.0474028 0.00165648 1 0.000814000 0.738477
OMEGA.2011-09-25T04:17:06.467 0.00243731 -0.00717919 1 0.0586190 0.759549
OMEGA.2011-09-25T04:18:50.108 0.0212888 -0.00997536 1 0.0572200 0.747010
OMEGA.2012-07-20T08:01:09.224 0.0169896 -0.000604848 1 -0.0373380 0.751966
OMEGA.2012-07-20T08:02:50.254 0.0114551 -0.00650921 1 -0.0785010 0.722412
OMEGA.2011-08-17T09:06:22.417 -0.0906709 0.0404390 1 -0.00127300 0.878270
OMEGA.2011-08-17T09:07:47.137 -0.0750951 0.0107807 1 0.00127300 0.805999
OMEGA.2012-10-17T02:19:48.912 0.0141369 0.0226737 1 0.00349100 0.899288
OMEGA.2012-10-17T02:21:22.932 0.0167627 0.00731026 1 -0.00349100 1.06188
OMEGA.2011-11-30T03:47:23.970 0.00360820 -0.0138424 1 0.000690000 0.869885
OMEGA.2011-11-30T03:48:48.881 -0.00266510 0.00144704 1 -0.000690000 0.923653
OMEGA.2011-10-31T00:54:22.480 0.00549640 0.00144156 1 -0.000163000 0.674348
OMEGA.2011-10-31T00:55:48.302 0.00421071 0.00354470 1 0.000163000 0.781022
OMEGA.2012-07-22T07:41:15.083 -0.00970331 -0.0210535 1 -0.00242300 0.954124
OMEGA.2012-07-22T07:43:02.743 -0.00353258 -0.0369076 1 0.00242300 1.03965
OMEGA.2011-11-04T01:22:44.534 -0.0271237 -0.0165517 1 -0.000629000 0.629829
OMEGA.2011-11-04T01:24:12.755 -0.0749444 -0.0354839 1 0.000629000 0.649987
OMEGA.2011-10-27T01:26:14.742 0.0495160 0.0344964 1 0.0165700 1.37908
OMEGA.2011-10-27T01:27:45.773 0.0338672 0.0293967 1 0.0150270 1.42771
OMEGA.2012-10-17T03:19:18.962 -0.0320393 0.0169633 1 -0.0151330 1.12352
OMEGA.2012-10-17T03:20:48.972 -0.00328592 0.0192483 1 -0.0164640 1.09554
OMEGA.2011-11-06T05:12:47.131 -0.00507741 0.0340300 1 -0.00106600 0.705105
OMEGA.2011-11-06T05:14:12.112 -0.000958616 0.0322257 1 0.00106600 0.743292
OMEGA.2012-08-12T09:03:14.366 0.000271556 -0.000809004 1 -0.00112400 1.22521
OMEGA.2012-08-12T09:04:39.267 -0.000690509 0.000112964 1 0.00112400 1.11075
OMEGA.2012-09-12T04:48:42.828 0.0127479 -0.00953709 1 0.000271000 0.763932
OMEGA.2012-09-12T04:50:22.649 0.0196531 -0.00352576 1 -0.000271000 0.809194
OMEGA.2011-11-13T04:09:04.046 0.0237140 0.0560789 0 -0.190423 1.76499
OMEGA.2011-11-13T04:10:29.197 -0.0159391 0.0853225 0 -0.186829 2.13635
OMEGA.2011-12-04T02:37:43.118 -0.0905561 0.0252207 1 0.138470 0.803962
OMEGA.2011-12-04T02:39:11.789 -0.0859181 0.0257449 1 0.138786 0.749357
OMEGA.2011-12-14T03:13:34.566 -0.0335579 -0.0105215 1 0.0490450 0.845014
OMEGA.2011-12-14T03:15:00.307 -0.0358846 0.00934540 1 0.0509520 0.915361
OMEGA.2011-09-30T07:10:28.522 0.0378251 0.00531575 1 0.000353000 0.603625
OMEGA.2011-09-30T07:12:02.643 0.0408628 -0.00285172 1 -0.000353000 0.589458
OMEGA.2011-08-21T07:15:30.363 -0.0208440 0.0127573 1 0.00327800 0.791816
OMEGA.2011-08-21T07:16:59.054 0.00314622 0.00681032 1 0.000321000 0.802486
OMEGA.2011-08-21T07:52:01.895 -0.00272186 -0.00814275 1 0.00201800 0.744833
OMEGA.2011-08-21T07:53:27.015 -0.0274945 -0.0104599 1 0.00452600 0.756478
OMEGA.2011-08-21T08:48:01.518 -0.00145586 -0.0200713 1 -0.00583500 0.729325
OMEGA.2011-08-21T08:49:26.399 -0.0129382 -0.0128178 1 -0.00430800 0.870533
OMEGA.2011-09-29T06:42:18.480 -0.0337730 -0.0223442 1 0.00555600 1.10976
OMEGA.2011-09-29T06:43:46.011 -0.00718820 0.000863753 1 -0.00555600 1.14379
