# IMAGENAME e1 e2 V0.5.6A RZP SEEING
OMEGA.2012-03-30T05:20:49.747 -0.0678190 0.219969 0 -0.198475 1.06121
OMEGA.2013-03-24T02:25:59.210 0.0449765 0.190207 0 0.0107520 0.906422
OMEGA.2013-03-26T06:45:07.319 0.0878809 0.158107 1 -0.0387130 0.901289
OMEGA.2012-10-24T05:51:34.902 0.0659063 0.243047 1 0.0178940 0.985069
OMEGA.2012-10-24T05:53:00.672 0.101584 0.244237 1 0.0183080 0.992603
OMEGA.2012-10-24T05:58:45.604 0.165975 0.270469 1 0.00981700 1.01057
OMEGA.2012-10-24T06:00:10.644 0.101813 0.272858 1 0.0223830 1.01335
OMEGA.2011-11-13T04:03:52.294 -0.00739631 0.177847 0 -0.145577 2.09146
OMEGA.2011-11-05T01:01:21.122 -0.129589 -0.185442 1 0.00216900 1.06033
OMEGA.2013-03-12T02:51:55.064 0.158267 -0.292945 0 0.0251790 1.76292
OMEGA.2013-03-24T02:24:23.069 -0.352439 -0.290794 0 0.0330530 0.608849
OMEGA.2013-03-06T07:50:32.243 0.0437752 -0.164272 1 0.000232000 1.12926
OMEGA.2013-03-06T07:52:00.143 0.00346814 -0.160774 1 -0.000232000 0.980860
OMEGA.2011-09-25T08:17:11.998 -0.149475 -0.166105 1 -0.00150600 1.23093
OMEGA.2012-11-25T00:51:48.250 0.174344 -0.156827 0 -0.0379610 1.44030
OMEGA.2012-09-28T07:11:15.666 -0.0180395 -0.152405 0 0.0552050 2.10104
OMEGA.2012-09-28T07:19:33.648 -0.0341243 -0.168744 0 0.0547200 2.11880
OMEGA.2012-09-30T07:22:18.249 0.529939 -0.170510 0 0.0293980 2.14695
OMEGA.2012-09-28T07:37:59.293 -0.0134644 -0.151858 0 0.0660490 2.13732
OMEGA.2012-12-16T04:32:36.919 -0.265129 -0.171245 1 -0.0663980 1.35005
